,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????????????????? ?? 2568P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of,2025p,,,,,,,,,,,,,2024p,,,,,,,,,,,,,Country of,%CHANG,,,,,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),,,
Hungary,"8,830","6,849","4,571","2,575","1,093","1,110","1,199","1,090","1,059","2,122","3,899","7,175","41,572","7,556","5,946","4,304","1,681","1,039",885,"1,104",970,916,"2,074","3,543","6,927","36,945",Hungary,+16.86,+15.19,+6.20,+53.18,+5.20,+25.42,+8.61,+12.37,+15.61,+2.31,+10.05,+3.58,+12.52,,,
Kazakhstan,"31,906","26,121","23,517","10,286","5,632","5,752","6,243","5,711","4,929","9,566","15,007","21,950","166,620","30,400","27,682","26,961","10,746","6,597","7,331","7,531","6,940","6,343","13,741","23,802","27,015","195,089",Kazakhstan,+4.95,-5.64,-12.77,-4.28,-14.63,-21.54,-17.10,-17.71,-22.29,-30.38,-36.95,-18.75,-14.59,,,
Kyrgyzstan,"3,397","2,092","1,046",804,601,477,460,456,682,753,"1,529","2,377","14,674","1,506","1,050",618,538,360,247,392,519,843,991,"1,949","2,994","12,007",Kyrgyzstan,+125.56,+99.24,+69.26,+49.44,+66.94,+93.12,+17.35,-12.14,-19.10,-24.02,-21.55,-20.61,+22.21,,,
Latvia,"2,047","1,596","1,778",684,413,329,340,323,418,935,"2,078","2,397","13,338","1,740","1,494","1,485",625,435,327,267,316,369,784,"1,616","1,911","11,369",Latvia,+17.64,+6.83,+19.73,+9.44,-5.06,+0.61,+27.34,+2.22,+13.28,+19.26,+28.59,+25.43,+17.32,,,
Lithuania,"4,418","4,010","3,183","1,333",882,803,753,603,823,"2,133","3,936","4,088","26,965","3,669","3,952","2,714","1,341",944,894,710,626,753,"1,747","2,982","3,149","23,481",Lithuania,+20.41,+1.47,+17.28,-0.60,-6.57,-10.18,+6.06,-3.67,+9.30,+22.10,+31.99,+29.82,+14.84,,,
Poland," 39,420 "," 40,307 "," 24,059 "," 9,838 "," 6,052 "," 5,415 "," 6,948 "," 6,942 "," 8,176 "," 12,691 "," 36,938 "," 40,784 "," 237,570 "," 32,708 "," 25,959 "," 18,490 "," 8,571 "," 5,383 "," 4,726 "," 5,204 "," 5,119 "," 6,280 "," 10,594 "," 29,514 "," 28,174 "," 180,722 ",Poland,+20.52,+55.27,+30.12,+14.78,+12.43,+14.58,+33.51,+35.61,+30.19,+19.79,+25.15,+44.76,+31.46,,,
Romania," 8,921 "," 8,537 "," 5,338 "," 4,149 "," 1,900 "," 1,495 "," 1,713 "," 1,787 "," 1,966 "," 3,777 "," 6,524 "," 12,386 "," 58,493 "," 6,025 "," 6,140 "," 4,092 "," 3,136 "," 1,587 "," 1,168 "," 1,154 "," 1,585 "," 1,678 "," 3,351 "," 5,237 "," 9,944 "," 45,097 ",Romania,+48.07,+39.04,+30.45,+32.30,+19.72,+28.00,+48.44,+12.74,+17.16,+12.71,+24.58,+24.56,+29.70,,,
Russian Federation," 255,920 "," 230,600 "," 235,682 "," 155,314 "," 83,627 "," 73,616 "," 81,098 "," 79,573 "," 76,907 "," 145,764 "," 214,523 "," 266,213 "," 1,898,837 "," 219,167 "," 204,742 "," 198,904 "," 144,397 "," 81,263 "," 72,516 "," 83,358 "," 78,437 "," 76,974 "," 129,893 "," 205,766 "," 249,910 "," 1,745,327 ",Russian Federation,+16.77,+12.63,+18.49,+7.56,+2.91,+1.52,-2.71,+1.45,-0.09,+12.22,+4.26,+6.52,+8.80,,,
Slovakia," 5,104 "," 5,895 "," 4,455 "," 2,287 "," 1,153 "," 1,258 "," 1,255 "," 1,145 "," 1,125 "," 1,836 "," 3,735 "," 6,073 "," 35,321 "," 3,941 "," 4,211 "," 3,989 "," 1,837 "," 1,209 "," 1,037 "," 1,117 ", 913 , 947 ," 1,637 "," 3,414 "," 4,657 "," 28,909 ",Slovakia,+29.51,+39.99,+11.68,+24.50,-4.63,+21.31,+12.35,+25.41,+18.80,+12.16,+9.40,+30.41,+22.18,,,
Ukraine," 7,348 "," 5,358 "," 4,817 "," 3,379 "," 2,727 "," 2,668 "," 2,992 "," 2,886 "," 2,964 "," 4,049 "," 5,845 "," 7,753 "," 52,786 "," 6,316 "," 5,104 "," 4,218 "," 3,017 "," 2,485 "," 2,345 "," 2,497 "," 2,403 "," 2,416 "," 3,091 "," 4,758 "," 6,306 "," 44,956 ",Ukraine,+16.34,+4.98,+14.20,+12.00,+9.74,+13.77,+19.82,+20.10,+22.68,+30.99,+22.85,+22.95,+17.42,,,
